Sylhet,Sylhet,Balaganj,Osmanpur,Mandarbazar USC,10002163,USC Mandarbazar ,USC,,,,,,,,,,,,,,
Sylhet,Sylhet,Balaganj,Osmanpur,Sultanabad Cc ,10012921,CC Sultanabad ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Balaganj,Osmanpur,Usmanpur Cc ,10012922,CC Usmanpur ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Balaganj,Paschim Gauripur,Atasan Cc ,10012923,CC Atasan ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Balaganj,Paschim Gauripur,Gouripur Cc ,10017639,CC Gouripur ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Balaganj,Paschim Pailanpur,Adampur Cc ,10012924,CC Adampur ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Balaganj,Paschim Pailanpur,Boro Hazipur Cc ,10017642,CC Boro Hazipur ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Balaganj,Purba Gauripur,Kayasthaghat Cc ,10012925,CC Kayasthaghat ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Balaganj,Purba Gauripur,Taharbohor Cc ,10017645,CC Taharbohor ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Balaganj,Purba Pailanpur,Rasidpur Cc ,10012926,CC Rasidpur ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Balaganj,Sadipur,Halimpur Cc ,10012927,CC Halimpur ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Balaganj,Sadipur,Azizpur (sadipur) USC,10002161,USC Azizpur (Sadipur),USC,,,,,,,,,,,,,,
Sylhet,Sylhet,Balaganj,Sadipur,Mobarokpur Cc ,10017634,CC Mobarokpur ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Balaganj,Sadipur,Sadipur Cc ,10012929,CC Sadipur ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Balaganj,Sadipur,Sammanpur Cc ,10012930,CC Sammanpur ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Balaganj,Tajpur,Hailakandi Cc ,10012931,CC Hailakandi ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Balaganj,Tajpur,Tajpur USC,10002167,USC Tajpur ,USC,,,,,,,,,,,,,,
Sylhet,Sylhet,Balaganj,Tajpur,Hasitdur Cc ,10012932,CC Hasitdur ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Balaganj,Tajpur,Varera Cc ,10012933,CC Varera ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Beanibazar,Alinagar,Kargram Cc,10017945,CC Kargram,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Beanibazar,Alinagar,Uttarbag Cc,10017944,CC Uttarbag,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Beanibazar,Charkhai,Bagbari Cc ,10012935,CC Bagbari ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Beanibazar,Charkhai,Charkhai USC,10002169,USC Charkhai ,USC,,,,,,,,,,,,,,
Sylhet,Sylhet,Beanibazar,Charkhai,Pailgram Cc ,10012936,CC Pailgram ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Beanibazar,Charkhai,Sikarpur Cc ,10012937,CC Sikarpur ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Beanibazar,Dobhag,Gaylapur Cc ,10012938,CC Gaylapur ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Beanibazar,Dobhag,Choriabazar USC,10002168,USC Choriabazar ,USC,,,,,,,,,,,,,,
Sylhet,Sylhet,Beanibazar,Dobhag,Panjipuri Cc ,10012939,CC Panjipuri ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Beanibazar,Kurar Bazar,Akakhagna Cc,10017948,CC Akakhagna,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Beanibazar,Kurar Bazar,Kurar Bazar USC,10002170,USC Kurar Bazar ,USC,,,,,,,,,,,,,,
Sylhet,Sylhet,Beanibazar,Kurar Bazar,Gobindosree Cc,10017947,CC Gobindosree,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Beanibazar,Kurar Bazar,Khsirbond Cc,10017949,CC Khsirbond,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Beanibazar,Lauta,Hijlortuk CC ,10023560,CC Hijlortuk ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Beanibazar,Lauta,Lauta USC,10002171,USC Lauta ,USC,,,,,,,,,,,,,,
Sylhet,Sylhet,Beanibazar,Lauta,Jaldup Cc,10017952,CC Jaldup,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Beanibazar,Mathiura,Mathiura Cc ,10012940,CC Mathiura ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Beanibazar,Mathiura,Raybasi CC ,10023561,CC Raybasi ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Beanibazar,Mollahpur,Paton Cc,10017951,CC Paton,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Beanibazar,Muria,Choto Desh Cc ,10012941,CC Choto Desh ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Beanibazar,Muria,Gungadiya Cc ,10012942,CC Gungadiya ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Beanibazar,Muria,Nayagram Cc ,10012943,CC Nayagram ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Beanibazar,Sheola,Dewnagar Cc,10017950,CC Dewnagar,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Beanibazar,Sheola,Teradal Cc,10017946,CC Teradal,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Beanibazar,Tilpara,Holimpur CC ,10023559,CC Holimpur ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Beanibazar,Tilpara,Tilpara USC,10002173,USC Tilpara ,USC,,,,,,,,,,,,,,
Sylhet,Sylhet,Beanibazar,Tilpara,Shanashar Cc ,10017942,CC Shanashar ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Beanibazar,Urban Ward No-02,Kasba Cc ,10012934,CC Kasba ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Bishwanath,Alankari,Karpara Cc ,10012952,CC Karpara ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Bishwanath,Alankari,Mirergam Cc ,10012953,CC Mirergam ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Bishwanath,Alankari,Char Chandi Cc ,10012951,CC Char Chandi ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Bishwanath,Alankari,Peskarergao Cc ,10012945,CC Peskarergao ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Bishwanath,Bishwanath,Dhitpur Cc ,10012947,CC Dhitpur ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Bishwanath,Bishwanath,Biswanath USC,10002174,USC Biswanath ,USC,,USC Bishwanath,,,,,,,,,,,,
Sylhet,Sylhet,Bishwanath,Bishwanath,Mirer Char Cc ,10012948,CC Mirer Char ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Bishwanath,Bishwanath,North Dharmada Cc ,10012949,CC North Dharmada ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Bishwanath,Bishwanath,Sbasram Cc ,10012950,CC Sbasram ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Bishwanath,Dasghar,Baishghar Cc,10018573,CC Baishghar,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Bishwanath,Dasghar,Doshghar USC,10002176,USC Doshghar ,USC,,,,,,,,,,,,,,
Sylhet,Sylhet,Bishwanath,Dasghar,Sabajpur Cc,10018551,CC Sabajpur,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Bishwanath,Daulatpur,Paruya Cc ,10012954,CC Paruya ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Bishwanath,Deokalas,Kashjan Cc,10018550,CC Kashjan,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Bishwanath,Khazanchigaon,Modanpur Cc,10018547,CC Modanpur,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Bishwanath,Khazanchigaon,Nayabandar (Banduya) Cc,10018548,CC Nayabandar (Banduya),CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Bishwanath,Khazanchigaon,Barokhurma Cc ,10012944,CC Barokhurma ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Bishwanath,Khazanchigaon,Tenra Canpur Cc ,10012946,CC Tenra Canpur ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Bishwanath,Lama Kazi,Rosulpur Cc,10018546,CC Rosulpur,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Bishwanath,Lama Kazi,Dighli USC,10002175,USC Dighli ,USC,,,,,,,,,,,,,,
Sylhet,Sylhet,Bishwanath,Lama Kazi,Sonapur Cc,10018545,CC Sonapur,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Bishwanath,Rampasha,Jamsharpur Cc,10018549,CC Jamsharpur,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Companiganj,Ishakalas,Shibpur Cc,10018748,CC Shibpur,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Companiganj,Ishakalas,Putamara,10018747,CC Putam,CC,,CC Putamara,,,,,,,,,,,,
Sylhet,Sylhet,Companiganj,Ishakalas,Parkul Cc ,10012965,CC Parkul ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Companiganj,Islampur Paschim,Chowmohonibazar Cc,10012955,CC Chowmohonibazar,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Companiganj,Islampur Paschim,Bholaganj USC,10002178,USC Bholaganj ,USC,,,,,,,,,,,,,,
Sylhet,Sylhet,Companiganj,Islampur Paschim,Shah Arpin Cc ,10012959,CC Shah Arpin ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Companiganj,Islampur Paschim,Shibpur Cc ,10012955,CC Shibpur ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Companiganj,Islampur Purba,Kathalbari Cc,10012957,CC Kathalbari,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Companiganj,Islampur Purba,Vatarai Cc ,10012960,CC Vatarai ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Companiganj,Islampur Purba,Dhalarpar Cc ,10012956,CC Dhalarpar ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Companiganj,Islampur Purba,Khayer Gao Cc ,10012958,CC Khayer Gao ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Companiganj,Ranikhai Uttar,Betmura Cc ,10012961,CC Betmura ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Companiganj,Ranikhai Uttar,Majher Gao Cc ,10012962,CC Majher Gao ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Companiganj,Ranikhai Dakkhin,Purba Barni Cc ,10012963,CC Purba Barni ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Companiganj,Telikhal,Chatibahar Cc ,10012964,CC Chatibahar ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Dakshin Surma,Baraikandi,Baraikandi Cc ,10013046,CC Baraikandi ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Dakshin Surma,Baraikandi,Joinpur CC ,10018561,CC Joinpur ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Dakshin Surma,Baraikandi,Lawi CC,10018558,CC Lawi,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Dakshin Surma,Baraikandi,Pirojpur CC ,10018560,CC Pirojpur ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Dakshin Surma,Daudpur,Ashugonj Cc ,10018570,CC Ashugonj ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Dakshin Surma,Daudpur,Rakhalgonj CC ,10018571,CC Rakhalgonj ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Dakshin Surma,Daudpur,Tirasigoan CC ,10018569,CC Tirasigoan ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Dakshin Surma,Jalalpur,Alomdin Cc ,10018559,CC Alomdin ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Dakshin Surma,Jalalpur,Mukamduar CC ,10019063,CC Mukamduar ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Dakshin Surma,Kuchai,Noornehar CC,10018572,CC Noornehar,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Dakshin Surma,Lala Bazar,Bagerkhola Cc (Doshal),10018564,CC Bagerkhola (Doshal),CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Dakshin Surma,Lala Bazar,Noorpur (Lalabazar) USC,100021902,USC Noorpur (Lalabazar) ,USC,,,,,,,,,,,,,,
Sylhet,Sylhet,Dakshin Surma,Lala Bazar,Khajakhalu CC ,10018563,CC Khajakhalu ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Dakshin Surma,Mogla Bazar,Baraigram Cc ,10013066,CC Baraigram ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Dakshin Surma,Mogla Bazar,Moglabazar USC,100021901,USC Moglabazar ,USC,,,,,,,,,,,,,,
Sylhet,Sylhet,Dakshin Surma,Mogla Bazar,Farang Pasa Cc ,10013067,CC Farang Pasa ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Dakshin Surma,Mogla Bazar,Mohammadpur CC ,10018567,CC Mohammadpur ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Dakshin Surma,Mollargaon,Gowal Gaon CC ,10018555,CC Gowal Gaon ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Dakshin Surma,Mollargaon,Sadar Khola CC ,10018556,CC Sadar Khola ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Dakshin Surma,Tetli,Boldi CC ,10017988,CC Boldi ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Dakshin Surma,Tetli,Rajibari CC ,10018562,CC Rajibari ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Dakshin Surma,Silam,Silam CC,Not Available,CC Silam,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Dakshin Surma,Silam,Birahimpur (Silam) USC,10002190,USC Birahimpur (Silam) ,USC,,,,,,,,,,,,,,
Sylhet,Sylhet,Fenchuganj,Fenchuganj,Chhatrish CC,10018759,CC Chhatrish,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Fenchuganj,Fenchuganj,Fenchuganj USC,10017111,USC Fenchuganj ,USC,,,,,,,,,,,,,,
Sylhet,Sylhet,Fenchuganj,Fenchuganj Uttar,Lamagangapur Cc,10019401,CC Lamagangapur,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Fenchuganj,Fenchuganj Uttar,Manikkona USC,10002180,USC Manikkona ,USC,,,,,,,,,,,,,,
Sylhet,Sylhet,Fenchuganj,Ghilachhara,Asighar Cc ,10012966,CC Asighar ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Fenchuganj,Ghilachhara,Badedeuli Cc ,10012967,CC Badedeuli ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Fenchuganj,Ghilachhara,Dharon Cc ,10012968,CC Dharon ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Fenchuganj,Ghilachhara,Judhistipur Cc ,10012969,CC Judhistipur ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Fenchuganj,Uttar Kusiara,Danaram CC,10018760,CC Danaram,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Fenchuganj,Maijgaon,Brahmangram Cc ,10012970,CC Brahmangram ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Fenchuganj,Maijgaon,Maijgaon USC,10017112,USC Maijgaon ,USC,,,,,,,,,,,,,,
Sylhet,Sylhet,Fenchuganj,Maijgaon,Kacuya Bohor Cc ,10012971,CC Kacuya Bohor ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Fenchuganj,Maijgaon,Kayasthagram Cc ,10012972,CC Kayasthagram ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Golapganj,Amura,Amura Cc ,10012973,CC Amura ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Golapganj,Bagha,Bagha (Lalnagar) Cc ,10012974,CC Bagha (Lalnagar),CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Golapganj,Bagha,Golapnagar Cc ,10012975,CC Golapnagar ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Golapganj,Bagha,Kalakuna Cc ,10012976,CC Kalakuna ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Golapganj,Bagha,Turukvag Cc ,10012977,CC Turukvag ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Golapganj,Bhadeshwar,Bhadeshwar East Vag Cc ,10012978,CC Bhadeshwar East Vag ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Golapganj,Bhadeshwar,Bhadeswar USC,10002183,USC Bhadeswar ,USC,,USC Bhadeshwar,,,,,,,,,,,,
Sylhet,Sylhet,Golapganj,Bhadeshwar,Bhadeshwar West Vag Cc ,10012979,CC Bhadeshwar West Vag ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Golapganj,Bhadeshwar,Khatakalompur Cc ,10012981,CC Khatakalompur ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Golapganj,Bhadeshwar,Sekhpur Cc ,10012980,CC Sekhpur ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Golapganj,Budbari Bazar,Bahargram Cc ,10012982,CC Bahargram ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Golapganj,Budbari Bazar,Candarpur Cc ,10012983,CC Candarpur ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Golapganj,Dhaka Dakshin,Khardapara Cc ,10012984,CC Khardapara ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Golapganj,Dhaka Dakshin,Dhaka Dakshin USC,10002184,USC Dhaka Dakshin ,USC,,,,,,,,,,,,,,
Sylhet,Sylhet,Golapganj,Dhaka Dakshin,Raygar (Sunampur) Cc ,10012985,CC Raygar (Sunampur),CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Golapganj,Dhaka Dakshin,Raygar Cc ,10012986,CC Raygar ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Golapganj,Fulbari,Dora Cc ,10012987,CC Dora ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Golapganj,Fulbari,Kayanthgram Cc ,10012988,CC Kayanthgram ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Golapganj,Fulbari,Rafipur Cc ,10012989,CC Rafipur ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Golapganj,Fulbari,Tikarpara Cc ,10012990,CC Tikarpara ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Golapganj,Golapganj,Ghugarkul Cc,10018590,CC Ghugarkul,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Golapganj,Golapganj,Golapganj USC,10002185,USC Golapganj ,USC,,,,,,,,,,,,,,
Sylhet,Sylhet,Golapganj,Golapganj,Sherpur Cc,10018588,CC Sherpur,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Golapganj,Golapganj,Yeagul Cc,10018589,CC Yeagul,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Golapganj,Lakshanaband,Fulshaind Cc,10018585,CC Fulshaind,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Golapganj,Lakshanaband,Mukitola Cc,10018586,CC Mukitola,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Golapganj,Lakshmi Pasha,Bausi Cc ,10012991,CC Bausi ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Golapganj,Lakshmi Pasha,Jangalhat Cc ,10012992,CC Jangalhat ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Golapganj,Lakshmi Pasha,Nimadal Cc ,10012993,CC Nimadal ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Golapganj,Shorifgonj,Basantapur CC,10024579,CC Basantapur,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Golapganj,Shorifgonj,Nurjahanpur Cc ,10012994,CC Nurjahanpur ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Golapganj,Shorifgonj,Paniaga Cc ,10012995,CC Paniaga ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Golapganj,Shorifgonj,Sharifganj CC ,10024575,CC Sharifganj ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Golapganj,Uttar Bade Pasha,Amkuna Cc,10018587,CC Amkuna,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Golapganj,Uttar Bade Pasha,Badepasha CC ,10024574,CC Badepasha ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Golapganj,Uttar Bade Pasha,Kalaim CC ,10024573,CC Kalaim ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Golapganj,Uttar Bade Pasha,Mullarchalk CC ,10024572,CC Mullarchalk ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Gowainghat,Alirgaon,Barkipur Cc ,10012996,CC Barkipur ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Gowainghat,Alirgaon,Khalagram Cc ,10012997,CC Khalagram ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Gowainghat,Alirgaon,Nayamati Khagra Cc ,10012998,CC Nayamati Khagra ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Gowainghat,Alirgaon,Pachpara Cc ,10012999,CC Pachpara ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Gowainghat,Daubari,Longpur CC,10025054,CC Longpur,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Gowainghat,Daubari,Nagardenri Cc ,10013003,CC Nagardenri ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Gowainghat,Daubari,Hakurbazar Cc ,10013002,CC Hakurbazar ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Gowainghat,Fatehpur,Fatepur 5 Khanda Cc ,10013000,CC Fatepur 5 Khanda ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Gowainghat,Fatehpur,Ramnagar Cc ,10013001,CC Ramnagar ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Gowainghat,Lengura,Niyagul Cc ,10013004,CC Niyagul ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Gowainghat,Nandirgaon,Dbarikandi Cc ,10013005,CC Dbarikandi ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Gowainghat,Nandirgaon,Siyala Haor Cc ,10013006,CC Siyala Haor ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Gowainghat,Paschim Jaflong,Kalijuri CC,10017725,CC Kalijuri,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Gowainghat,Paschim Jaflong,Rajnagor CC ,10017727,CC Rajnagor ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Gowainghat,Paschim Jaflong,Sattargram CC ,10017729,CC Sattargram ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Gowainghat,Purba Jaflong,Shanki Banga CC ,10017726,CC Shanki Banga ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Gowainghat,Rustampur,Bitorgol Cc ,10017732,CC Bitorgol ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Gowainghat,Rustampur,Kolamadav CC ,10017731,CC Kolamadav ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Gowainghat,Rustampur,Lamny CC,10020420,CC Lamny,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Gowainghat,Towakul,East Pekar Khal Cc,10017730,CC East Pekar Khal,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Gowainghat,Towakul,Towakul bazar USC,10002187,USC Towakul bazar ,USC,,,,,,,,,,,,,,
Sylhet,Sylhet,Gowainghat,Towakul,Nayapara CC,10020419,CC Nayapara,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Gowainghat,Towakul,South Janghail CC ,10017728,CC South Janghail ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Jaintiapur,Charikata,Dakshin Kamarangi Cc ,10013008,CC Dakshin Kamarangi ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Jaintiapur,Charikata,Charikata USC,10017130,USC Charikata ,USC,,,,,,,,,,,,,,
